,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
1,12 Clock Point,60872,2,Fence,1,9999
2,Not Reported,60872,3,Pedestrian,1,9999
0,Non-Harmful Event,60873,1,"Equipment Failure (blown tire, brake failure, etc)",1,9999
1,1 Clock Point,60873,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60873,3,Ran Off Roadway - Right,1,9999
3,Undercarriage,60873,4,Curb,1,9999
4,Undercarriage,60873,5,Curb,1,9999
5,Non-Collision,60873,6,Rollover/Overturn,1,9999
6,Not Reported,60873,7,Traffic Sign Support ,1,9999
0,Non-Harmful Event,60884,1,Ran Off Roadway - Right,1,5555
1,Right,60884,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,60884,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60884,4,Ran Off Roadway - Left,1,5555
4,Left,60884,5,Concrete Traffic Barrier,1,9999
5,Non-Harmful Event,60884,6,Re-entering Roadway,1,5555
6,Non-Harmful Event,60884,7,Ran Off Roadway - Right,1,5555
7,Right,60884,8,Guardrail Face,1,9999
8,Right,60884,9,Guardrail Face,1,9999
0,Non-Harmful Event,60885,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60885,2,Guardrail Face,1,9999
2,Not Reported,60885,3,Traffic Sign Support ,1,9999
3,Not Reported,60885,4,Traffic Sign Support ,1,9999
4,Non-Collision,60885,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,60886,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60886,2,Boulder,1,9999
2,Non-Collision,60886,3,Fell/Jumped from Vehicle,1,9999
3,Non-Collision,60886,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60886,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60886,2,Boulder,1,9999
2,Non-Collision,60886,3,Fell/Jumped from Vehicle,1,9999
3,Non-Collision,60886,4,Rollover/Overturn,1,9999
0,Non-Collision,60888,1,Rollover/Overturn,1,9999
1,Not Reported,60888,2,Culvert,1,9999
2,Non-Collision,60888,3,Rollover/Overturn,1,9999
0,Non-Collision,60888,1,Rollover/Overturn,1,9999
1,Not Reported,60888,2,Culvert,1,9999
2,Non-Collision,60888,3,Rollover/Overturn,1,9999
0,12 Clock Point,60889,1,Motor Vehicle In-Transport ,1,2
1,Other Objects Set-In-Motion,60889,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,60890,1,Motor Vehicle In-Transport ,1,2
0,10 Clock Point,60891,1,Pedalcyclist,1,9999
0,12 Clock Point,60892,1,Pedestrian,1,9999
0,Non-Harmful Event,60893,1,Ran Off Roadway - Right,1,5555
1,Right,60893,2,Guardrail Face,1,9999
2,Non-Collision,60893,3,Rollover/Overturn,1,9999
3,11 Clock Point,60893,4,Traffic Sign Support ,1,9999
0,Non-Harmful Event,60895,1,Ran Off Roadway - Left,1,9999
1,12 Clock Point,60895,2,Traffic Sign Support ,1,9999
2,Undercarriage,60895,3,Curb,1,9999
3,Non-Harmful Event,60895,4,Vehicle Went Airborne,1,9999
0,Non-Harmful Event,60896,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60896,2,Boulder,1,9999
2,Not Reported,60896,3,Embankment,1,9999
0,12 Clock Point,60897,1,Motor Vehicle In-Transport ,1,2
0,1 Clock Point,60899,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60899,2,Rollover/Overturn,2,9999
2,Other Objects Set-In-Motion,60899,3,Traffic Sign Support ,2,9999
0,Not Reported,60902,1,Guardrail Face,1,9999
1,Non-Harmful Event,60902,2,Vehicle Went Airborne,1,5555
2,Non-Collision,60902,3,Rollover/Overturn,1,9999
3,Not Reported,60902,4,Fence,1,9999
0,Undercarriage,60907,1,Pedestrian,1,9999
0,Undercarriage,60907,1,Pedestrian,1,9999
0,Non-Harmful Event,60908,1,Cross Centerline,1,5555
1,Non-Harmful Event,60908,2,End Departure,1,9999
2,12 Clock Point,60908,3,Curb,1,9999
3,12 Clock Point,60908,4,Pedestrian,1,9999
4,12 Clock Point,60908,5,Other Fixed Object,1,9999
5,12 Clock Point,60908,6,Tree (Standing Only),1,9999
6,12 Clock Point,60908,7,Tree (Standing Only),1,9999
7,1 Clock Point,60908,8,Fence,1,9999
8,Undercarriage,60908,9,Tree (Standing Only),1,9999
0,Non-Harmful Event,60908,1,Cross Centerline,1,5555
1,Non-Harmful Event,60908,2,End Departure,1,9999
2,12 Clock Point,60908,3,Curb,1,9999
3,12 Clock Point,60908,4,Pedestrian,1,9999
4,12 Clock Point,60908,5,Other Fixed Object,1,9999
5,12 Clock Point,60908,6,Tree (Standing Only),1,9999
6,12 Clock Point,60908,7,Tree (Standing Only),1,9999
7,1 Clock Point,60908,8,Fence,1,9999
8,Undercarriage,60908,9,Tree (Standing Only),1,9999
0,12 Clock Point,60912,1,Motor Vehicle In-Transport ,1,2
0,Unknown,60915,1,Pedestrian,1,9999
0,Unknown,60915,1,Pedestrian,1,9999
0,11 Clock Point,60916,1,Pedestrian,1,9999
0,Non-Harmful Event,60917,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60917,2,Curb,1,9999
2,Non-Collision,60917,3,Rollover/Overturn,1,9999
3,Not Reported,60917,4,Shrubbery,1,9999
4,Not Reported,60917,5,Tree (Standing Only),1,9999
5,Not Reported,60917,6,Fence,1,9999
0,Non-Harmful Event,60918,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60918,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60918,3,Cross Centerline,1,5555
3,Non-Harmful Event,60918,4,Ran Off Roadway - Left,1,5555
4,Left,60918,5,Curb,1,9999
5,Left,60918,6,Tree (Standing Only),1,9999
0,Non-Harmful Event,60919,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60919,2,Rollover/Overturn,1,9999
2,Not Reported,60919,3,Wall,1,9999
3,Not Reported,60919,4,"Other Post, Other Pole or Other Supports",1,9999
0,12 Clock Point,60920,1,Pedestrian,1,9999
0,Non-Harmful Event,60921,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60921,2,Shrubbery,1,9999
2,12 Clock Point,60921,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,60921,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60921,2,Shrubbery,1,9999
2,12 Clock Point,60921,3,Tree (Standing Only),1,9999
0,Left-Front Side,60923,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60923,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60923,3,Curb,1,9999
3,12 Clock Point,60923,4,Tree (Standing Only),1,9999
4,Not Reported,60923,5,Tree (Standing Only),1,9999
0,Left-Front Side,60923,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60923,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60923,3,Curb,1,9999
3,12 Clock Point,60923,4,Tree (Standing Only),1,9999
4,Not Reported,60923,5,Tree (Standing Only),1,9999
0,12 Clock Point,60928,1,Motor Vehicle In-Transport ,2,1
1,Other Objects Set-In-Motion,60928,2,Parked Motor Vehicle ,2,3
0,12 Clock Point,60929,1,Pedestrian,1,9999
0,Non-Harmful Event,60931,1,Ran Off Roadway - Left,1,5555
1,Not Reported,60931,2,Curb,1,9999
2,Non-Harmful Event,60931,3,Cross Centerline,1,5555
3,Non-Harmful Event,60931,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60931,5,"Other Post, Other Pole or Other Supports",1,9999
5,Non-Collision,60931,6,Rollover/Overturn,1,9999
6,9 Clock Point,60931,7,Utility Pole/Light Support,1,9999
0,12 Clock Point,60932,1,Motor Vehicle In-Transport ,2,1
1,6 Clock Point,60932,2,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,60933,1,Cross Centerline,1,5555
1,Non-Collision,60933,2,Rollover/Overturn,1,9999
2,Not Reported,60933,3,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60934,1,Pedestrian,1,9999
0,12 Clock Point,60938,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60938,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60938,3,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,60941,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60941,2,Boulder,1,9999
0,Non-Harmful Event,60953,1,Cross Centerline,1,5555
1,Non-Harmful Event,60953,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60953,3,Ran Off Roadway - Right,1,5555
3,12 Clock Point,60953,4,Parked Motor Vehicle ,1,2
4,Non-Collision,60953,5,Fire/Explosion,1,9999
0,Non-Harmful Event,60955,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60955,2,Impact Attenuator/Crash Cushion,1,9999
2,Cargo/Vehicle Parts Set-In-Motion,60955,3,Impact Attenuator/Crash Cushion,1,9999
0,Not Reported,60957,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,60958,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60958,2,Ran Off Roadway - Left,2,5555
2,Right-Back Side,60958,3,Traffic Signal Support,2,9999
3,Not Reported,60958,4,Wall,2,9999
4,Non-Collision,60958,5,Rollover/Overturn,1,9999
5,Other Objects Set-In-Motion,60958,6,Parked Motor Vehicle ,1,3
6,Other Objects Set-In-Motion,60958,7,Parked Motor Vehicle ,1,4
0,Non-Harmful Event,60960,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,60960,2,Curb,1,9999
2,Not Reported,60960,3,Guardrail Face,1,9999
3,Not Reported,60960,4,Guardrail Face,1,9999
4,Not Reported,60960,5,Tree (Standing Only),1,9999
5,12 Clock Point,60960,6,Embankment,1,9999
6,Non-Collision,60960,7,Rollover/Overturn,1,9999
0,12 Clock Point,60961,1,Pedestrian,1,9999
0,Non-Harmful Event,60962,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60962,2,Curb,1,9999
2,Other Objects Set-In-Motion,60962,3,Wall,1,9999
0,Non-Harmful Event,60962,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60962,2,Curb,1,9999
2,Other Objects Set-In-Motion,60962,3,Wall,1,9999
0,Non-Harmful Event,60963,1,Cross Median,1,5555
1,6 Clock Point,60963,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60963,3,Ran Off Roadway - Right,2,5555
3,Undercarriage,60963,4,Curb,2,9999
4,6 Clock Point,60963,5,Shrubbery,2,9999
5,6 Clock Point,60963,6,Other Traffic Barrier,2,9999
6,Non-Harmful Event,60963,7,"Equipment Failure (blown tire, brake failure, etc)",2,5555
7,Non-Collision,60963,8,Fire/Explosion,1,9999
0,Non-Harmful Event,60966,1,Ran Off Roadway - Left,1,5555
1,Not Reported,60966,2,Curb,1,9999
2,12 Clock Point,60966,3,Tree (Standing Only),1,9999
0,12 Clock Point,60969,1,Pedestrian,1,9999
1,Not Reported,60969,2,Pedestrian,2,9999
0,Non-Harmful Event,60970,1,Ran Off Roadway - Left,1,5555
1,Not Reported,60970,2,Curb,1,9999
2,11 Clock Point,60970,3,Curb,1,9999
3,1 Clock Point,60970,4,Curb,1,9999
4,12 Clock Point,60970,5,Tree (Standing Only),1,9999
5,5 Clock Point,60970,6,Curb,1,9999
6,7 Clock Point,60970,7,Curb,1,9999
7,Right,60970,8,Tree (Standing Only),1,9999
8,Non-Collision,60970,9,Fire/Explosion,1,9999
0,Non-Harmful Event,60973,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60973,2,Fence,1,9999
2,Non-Harmful Event,60973,3,Vehicle Went Airborne,1,5555
3,9 Clock Point,60973,4,Tree (Standing Only),1,9999
4,3 Clock Point,60973,5,Shrubbery,1,9999
0,Non-Harmful Event,60973,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60973,2,Fence,1,9999
2,Non-Harmful Event,60973,3,Vehicle Went Airborne,1,5555
3,9 Clock Point,60973,4,Tree (Standing Only),1,9999
4,3 Clock Point,60973,5,Shrubbery,1,9999
0,Non-Harmful Event,60976,1,Cross Centerline,1,5555
1,Right,60976,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60978,1,Pedestrian,1,9999
0,12 Clock Point,60979,1,Pedestrian,1,9999
1,Undercarriage,60979,2,Pedestrian,2,9999
0,Right-Front Side,60984,1,Pedestrian,1,9999
1,Right-Front Side,60984,2,Pedestrian,1,9999
0,Right-Front Side,60984,1,Pedestrian,1,9999
1,Right-Front Side,60984,2,Pedestrian,1,9999
0,12 Clock Point,60985,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60988,1,Non-Motorist on Personal Conveyance,1,9999
0,Right,60989,1,Parked Motor Vehicle ,1,2
1,Right,60989,2,Parked Motor Vehicle ,1,3
2,Right,60989,3,Parked Motor Vehicle ,1,4
3,Right,60989,4,Parked Motor Vehicle ,1,5
4,Right,60989,5,Parked Motor Vehicle ,1,6
5,Right,60989,6,Parked Motor Vehicle ,1,7
0,12 Clock Point,60991,1,Pedestrian,1,9999
0,12 Clock Point,60991,1,Pedestrian,1,9999
0,12 Clock Point,60991,1,Pedestrian,1,9999
0,Non-Harmful Event,60993,1,Cross Centerline,1,5555
1,2 Clock Point,60993,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,60993,3,Motor Vehicle In-Transport ,1,3
3,Non-Harmful Event,60993,4,Ran Off Roadway - Right,3,5555
4,Non-Collision,60993,5,Fire/Explosion,1,9999
0,Non-Harmful Event,60995,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60995,2,Parked Motor Vehicle ,1,2
2,Not Reported,60995,3,Motor Vehicle In-Transport ,1,3
3,12 Clock Point,60995,4,Motor Vehicle In-Transport ,3,4
4,Non-Harmful Event,60995,5,Ran Off Roadway - Right,3,5555
5,Not Reported,60995,6,Embankment,3,9999
6,Non-Harmful Event,60995,7,Ran Off Roadway - Right,4,5555
7,Not Reported,60995,8,Embankment,4,9999
0,1 Clock Point,60997,1,Pedestrian,1,9999
0,Non-Harmful Event,60998,1,Cross Centerline,1,5555
1,12 Clock Point,60998,2,Motor Vehicle In-Transport ,1,2
0,Left,61001,1,Motor Vehicle In-Transport ,2,1
0,Left,61001,1,Motor Vehicle In-Transport ,2,1
0,1 Clock Point,61003,1,Pedestrian,1,9999
0,Non-Harmful Event,61004,1,Cross Centerline,1,5555
1,12 Clock Point,61004,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,61004,3,Ran Off Roadway - Right,2,5555
3,Not Reported,61004,4,Fence,2,9999
0,Right,61007,1,Motor Vehicle In-Transport ,2,1
1,Other Objects Set-In-Motion,61007,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,Non-Harmful Event,61010,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,61010,2,Curb,1,9999
2,9 Clock Point,61010,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61012,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61012,2,Embankment,1,9999
2,Non-Collision,61012,3,Rollover/Overturn,1,9999
0,12 Clock Point,61015,1,Pedestrian,1,9999
0,12 Clock Point,61016,1,Pedestrian,1,9999
1,12 Clock Point,61016,2,Pedestrian,1,9999
2,12 Clock Point,61016,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61017,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61017,2,Pedalcyclist,1,9999
2,12 Clock Point,61017,3,"Post, Pole or Other Supports",1,9999
3,12 Clock Point,61017,4,Mail Box,1,9999
4,12 Clock Point,61017,5,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,61017,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61017,2,Pedalcyclist,1,9999
2,12 Clock Point,61017,3,"Post, Pole or Other Supports",1,9999
3,12 Clock Point,61017,4,Mail Box,1,9999
4,12 Clock Point,61017,5,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,61017,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61017,2,Pedalcyclist,1,9999
2,12 Clock Point,61017,3,"Post, Pole or Other Supports",1,9999
3,12 Clock Point,61017,4,Mail Box,1,9999
4,12 Clock Point,61017,5,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,61019,1,Ran Off Roadway - Left,1,5555
1,9 Clock Point,61019,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,61019,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61019,4,Ran Off Roadway - Left,1,5555
4,Non-Collision,61019,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61022,1,Ran Off Roadway - Right,1,5555
1,Left-Front Half,61022,2,Parked Motor Vehicle ,1,2
2,Left-Front Half,61022,3,Parked Motor Vehicle ,1,3
3,Left-Front Half,61022,4,Parked Motor Vehicle ,1,4
4,Left-Front Half,61022,5,Parked Motor Vehicle ,1,5
5,Left-Front Half,61022,6,Parked Motor Vehicle ,1,6
6,12 Clock Point,61022,7,Tree (Standing Only),1,9999
7,Not Reported,61022,8,Other Fixed Object,1,9999
8,Non-Collision,61022,9,Rollover/Overturn,1,9999
9,Not Reported,61022,10,Other Fixed Object,1,9999
10,Not Reported,61022,11,Tree (Standing Only),1,9999
0,12 Clock Point,61023,1,Motor Vehicle In-Transport ,1,2
1,Right,61023,2,Motor Vehicle In-Transport ,1,3
2,Not Reported,61023,3,Pedestrian,1,9999
3,Non-Harmful Event,61023,4,Ran Off Roadway - Right,2,5555
4,12 Clock Point,61023,5,Parked Motor Vehicle ,2,4
0,12 Clock Point,61024,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61024,2,Vehicle Went Airborne,1,9999
2,Non-Collision,61024,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,61024,4,Cross Centerline,1,9999
4,12 Clock Point,61024,5,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,61026,1,Pedestrian,1,9999
0,12 Clock Point,61029,1,Pedestrian,1,9999
0,Left-Front Side,61031,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61031,2,Ran Off Roadway - Right,1,5555
2,Left-Back Side,61031,3,Embankment,1,9999
3,Non-Harmful Event,61031,4,Ran Off Roadway - Right,2,5555
4,Non-Collision,61031,5,Rollover/Overturn,2,9999
0,12 Clock Point,61032,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61032,2,Motor Vehicle In-Transport ,3,1
2,Cargo/Vehicle Parts Set-In-Motion,61032,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,4
0,Non-Harmful Event,61034,1,Ran Off Roadway - Left,3,5555
1,3 Clock Point,61034,2,Motor Vehicle In-Transport ,1,2
2,Undercarriage,61034,3,Motor Vehicle In-Transport ,2,1
3,Non-Harmful Event,61034,4,Ran Off Roadway - Left,1,5555
4,Left-Front Side,61034,5,Motor Vehicle In-Transport ,1,3
5,Left-Front Side,61034,6,Concrete Traffic Barrier,3,9999
6,Left-Front Side,61034,7,Concrete Traffic Barrier,1,9999
0,12 Clock Point,61035,1,Pedestrian,1,9999
0,12 Clock Point,61037,1,Pedestrian,1,9999
0,Non-Harmful Event,61040,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61040,2,Utility Pole/Light Support,1,9999
2,Non-Harmful Event,61040,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61040,4,Ran Off Roadway - Right,1,5555
4,12 Clock Point,61040,5,Utility Pole/Light Support,1,9999
5,Non-Collision,61040,6,Fire/Explosion,1,9999
0,12 Clock Point,61041,1,Pedalcyclist,1,9999
0,12 Clock Point,61041,1,Pedalcyclist,1,9999
0,12 Clock Point,61042,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,61042,2,Ran Off Roadway - Right,1,5555
2,Not Reported,61042,3,Curb,1,9999
3,Right-Front Side,61042,4,Other Fixed Object,1,9999
4,Left-Front Side,61042,5,Other Fixed Object,1,9999
5,12 Clock Point,61042,6,Parked Motor Vehicle ,1,3
6,Other Objects Set-In-Motion,61042,7,Parked Motor Vehicle ,1,4
0,12 Clock Point,61046,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61046,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61047,1,Pedestrian,1,9999
1,12 Clock Point,61047,2,Pedestrian,2,9999
0,12 Clock Point,61047,1,Pedestrian,1,9999
1,12 Clock Point,61047,2,Pedestrian,2,9999
0,12 Clock Point,61047,1,Pedestrian,1,9999
1,12 Clock Point,61047,2,Pedestrian,2,9999
0,12 Clock Point,61047,1,Pedestrian,1,9999
1,12 Clock Point,61047,2,Pedestrian,2,9999
0,12 Clock Point,61049,1,Parked Motor Vehicle ,1,2
1,Non-Harmful Event,61049,2,Ran Off Roadway - Right,1,5555
2,12 Clock Point,61049,3,Pedestrian,1,9999
3,12 Clock Point,61049,4,Other Fixed Object,1,9999
4,12 Clock Point,61049,5,Parked Motor Vehicle ,1,3
0,12 Clock Point,61050,1,Pedestrian,1,9999
0,12 Clock Point,61051,1,Pedestrian,1,9999
0,12 Clock Point,61052,1,Pedestrian,1,9999
0,Non-Harmful Event,61054,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,61054,2,Curb,1,9999
2,9 Clock Point,61054,3,Traffic Signal Support,1,9999
3,Left-Front Half,61054,4,Traffic Sign Support ,1,9999
4,12 Clock Point,61054,5,Fence,1,9999
0,Non-Harmful Event,61058,1,Cross Centerline,1,5555
1,12 Clock Point,61058,2,Motor Vehicle In-Transport ,1,2
0,Non-Collision,61059,1,Rollover/Overturn,2,9999
1,Set-In-Motion (Not a Clock Value),61059,2,Motor Vehicle In-Transport ,2,1
2,Not Reported,61059,3,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61060,1,Pedestrian,1,9999
0,Non-Harmful Event,61063,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61063,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61063,3,Ran Off Roadway - Left,1,5555
3,Non-Harmful Event,61063,4,Cross Median,1,5555
4,Non-Collision,61063,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61063,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61063,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61063,3,Ran Off Roadway - Left,1,5555
3,Non-Harmful Event,61063,4,Cross Median,1,5555
4,Non-Collision,61063,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61064,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61064,2,Curb,1,9999
2,Not Reported,61064,3,Other Fixed Object,1,9999
0,Non-Harmful Event,61066,1,Cross Centerline,1,5555
1,Right,61066,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61068,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61068,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61068,3,Cross Centerline,1,5555
3,12 Clock Point,61068,4,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61069,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61069,2,Ran Off Roadway - Right,2,5555
2,Non-Collision,61069,3,Rollover/Overturn,2,9999
3,Not Reported,61069,4,Fence,2,9999
0,12 Clock Point,61070,1,Pedestrian,1,9999
0,Non-Harmful Event,61071,1,End Departure,1,9999
1,6 Clock Point,61071,2,Building,1,9999
2,Not Reported,61071,3,Pedestrian,1,9999
0,12 Clock Point,61075,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61075,2,Ran Off Roadway - Left,2,5555
2,Right,61075,3,Traffic Signal Support,2,9999
3,Non-Harmful Event,61075,4,Ran Off Roadway - Right,1,5555
4,Non-Collision,61075,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61077,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61077,2,Utility Pole/Light Support,1,9999
0,12 Clock Point,61078,1,Motor Vehicle In-Transport ,2,1
1,Not Reported,61078,2,Motor Vehicle In-Transport ,2,3
